nome;username;user_id
Ana;anaabreupresentes;1473100543
Joice;joicedecorelove;5178314829
Karen;KarenPsicopedagogia;614590907
Rose;rosefelix_app;903760577
Leidy Chaves;Leydychaves;1391188308
Juliane;Juliane_Vale;2102265849
Sueli;Susu202222;1660060238
Suylla;Suyllalima;6461472647
Darlene Costa;Darleneksi;812411567
Nadja;NadjaH18;1595659002
Carolina;Carolinfaria;1175039887
@Sandrinhapereira;Sandrinhapereira;2085895114
Antonina;NrscaaH;7646424624
N@ra;Nara_plaza;1246896731
Cindy;CindyUehara;103559296
a;abc_a113;8008264078
Caroline de;CarolinedeQueiroz;1633935014
Fiama;Fiamasouza;1854847496
Mariana;marianafini;945318472
Ana Paula;anapaulagianfelice;1388345602
Silvia;Silvia_de_Siqueira;1282703156
Nubia;Nurodrigues;1865550482
Sabrina;Sabrinaesq;1995257984
Pamela;Pamelaneuropp;7029832101
Elisangela;FelizElis;1272985941
Bruna;Brunamariele;709523133
Geovana;Geovanaalopes;5906216315
Jana;Janainasalves;1378390734
Sara Moraes;engmoraes;1052557737
Milena;Milenagonc;288585664
Daisy;Daisycarol27;5855427840
Andréa;andrea_paixao;868610669
Carolina;mariacarol_ps;475816302
Juana;Juanakatarinny;854175410
Mylena;mylenams;166605995
sabrina;Sabrinaolivra;6023802237
WANHEDA;W4NHEDA;1802898703
Leila;Ldaiane01;6355261901
Karine;Karinesettimo;6337364004
Mary Martins;Maryhila;1278941947
Fernanda;FernandaaPaixao;5100518163
Lilian;LilianFrancieli;1331783194
Angélica Lidiane;amaralange;1078763115
Michele;michelegomesq;1316117463
Fernanda;Amorimfernandaa;6656550933
Josiane;josypedagogia;920498057
Lia;Liamelo80;1072089432
Aline;Aline_Donato;1195174466
Camila;Camilacaum;1084449264
Amanda;amandakavalerski;6138486662
Ana Beatriz;Esquet1;894941962
Jacira;JaciraSousa;2065933397
Wanderleya;WanderleyaAS;933974187
Géssica;gessicaolm;1977817833
Kari;KariCardoso;944085947
Adriana;Altieridri;1061616052
Vandreia;Flocos_de_neve_atelie;5450381717
Rosilene;RosiVent;5668730141
Débora Alice;debinhalice;1699041444
Líbia;Biadiva;1722762128
Sheila;Sheila_soianes;1911736004
Fernanda;AteliedasartesNanda;1288598788
Jeane;Jeaneosp;842195659
Helda;heldagoes;312656602
Maria Emilia;mariaemilia_alb;678451413
Aline Antunes;Aline180910;1902315936
Gabi;aGabimartins;1296367797
OTAVIA CAROLINE;Otaviacaroline;1619662401
Laura Cristina;lauracsf46;999239584
Meryguia;MeryGuia;1318521195
Élita Souza;ElitaSouza;1134866101
Marcela;Marcelabazoni;1512780087
Mel;melberny;1867432918
Natália;nataliagomec;1684252519
Andreia;AndreiaNico;976732403
Aline;Aline_2018;5027746457
Taís;tatafassini;1195690006
Hulda;HuldaLopes;5177098473
Camila;Camila_Frs;1016609677
Eliane;DoceLindaura;5492522600
Amanda;Amandadcosta;1769372319
ilnaria;ilnaria_Rodrigues;1011258047
Ana;HANNASILVINA;5021393903
Juliana;JulianaCaliman;1388459113
Eduarda;hermenit;1588269835
Conceição de Maria;Cisazinha;1543712760
Alexsandra;Alexsandradasilv;1614485018
Flávia;Flaviamilly;1269249931
Rejane Maciel;Rejane_Maciel;761313715
Gislaine;gloj122;1367856651
Gisele;GiseleSantos29;873019317
Aline;Aline_Thema;950916538
Daniele;Danielle_24;1115007619
Geruzia;Geruzia22;5128320979
Bruna;Brunasantos36;1484162309
Ana Caroline;sracoqueijo;984453417
NENGELA;NEYANGELA;1083976507
Marcella;NitschkeMarcella;5031987176
Mari;estrelladomar;1555412086
Maira;MairaSchramm;1170231298
SILVINHA;SILVINHA68;1790720940
Denise;Denise_ferreira2;798291414
Ana;heyanaluiza;1346661976
Thynha;thynhamarqui;1864281402
Valéria;Valeriacfs;1344590962
Camila;camilafreitasss;1349421348
Marlene;LeneLizzie;2036255558
Fernanda Arriola;FernandaArriola;442006894
Aline;Alinekr;5040829902
Karla;karlamoraes;484205613
Katia;KatiaGam;1370472495
Joane;JoaneSilvaJesus;1307305266
Gabriela;gabrielafcoser_psicopedagoga;893877435
Luedja Rocha;Luedjaa;1738187223
Aurora;AuroraTerapeuta;1155515880
Aurora;Auroralins;1322758679
Dione;dioneferrarii;1036174550
Elaine;La_ne;1134074638
Japa 🥷🏻;Lilpeep74;1775785789
HORLA;Horlandina;879891710
Isa;ysaa_sousaa;2020692867
Edonaria;Edonaria;5958249225
Elisabete;Betinha76;1201098554
Carla Renata;Carla_Renata_ungie;995763583
@Risa;Risa_physis;676782183
Angelica;AngelicaMimoo;1236699978
Claudia;claudiaalmeidapinamk;998693337
Luana;LuhannaEvangelista;1194235401
Vanessa;VanessaSantana28;899799762
joana;Lacococcinelle;1445629139
Maria Helena;Maria_Helena_veloso;439659765
Sarah;Sarah24Wilk;702005028
Raquel;silvalima;709778434
Cléia;Cleiasantossouza;1223589437
Patrícia;paty0208;1210227079
Ana;annamotac;959577788
