nome;username;user_id
Roger;RogerSchllin;1623480076
Maurílio;maurilio_p;663990021
Levi (fogos);LeviWdz;7951826362
Gabriel;psicologogabriellucena;5703866819
Pedro;Arllety;153698683
Pablo Alexsey;alexseyxsz;6491541775
jann;jannpontesbr;5293327418
Roque;Rockezada;1615325042
Saimir Gurakuqi;SaimirGurakuqiii;7438679225
Rodrigo;rodrigoschindler;1047810766
Fernando;Fernandovieira15;5429631656
Leonel;Leonel197710;6061775791
Jerry EC;JerryEC;914250257
Filipe;filipealmeida23;1283747474
Eduardo;educandian;1423242194
TuRbO;Turbete;3142969
julian;Julianvc;1780251398
Bruno;Bruno_Nogueira82;956795454
Raul;raulafonso1811994;735648842
MAX 4K;themisteryx3;721126752
Edson;FamiliaGamerBR;5478288298
Marcin;Marcin_TK;1588615908
Jens;UrdragonsEnd1988;894208441
David;verdadeirodavid;1396900193
Natal;natalcp;265924381
Ezequiel;Zeqqe;1569489535
Aluizio Sampaio;Alugi199;1040051742
Bruno F;tirosala;373667284
Djxuxo;DjXuxo;1575057178
Rafael;Radaziel;1441748586
Claudio;scocla;419740230
Luis;LPortugal22;1301270912
Alexandre;AleTattooStudio;7627611831
Rafael Ascani;Rafael_Ascani;554501989
Renato;renato_santos87;734604706
Fernando;Fernando_Shinobi;1569777437
Ednaldo;naldo13;5091163190
Fabio;FabioRyu23;8146722424
Robert;Brayan23x;951860426
Wesley;Weslley94;708907027
Pedro;Pedroo_03;1335770808
Vinicius;ViniciusSouzaCG;964236730
Breno;BrenoCG;1215544135
Gio;GiovyKry;2066231581
Alexsandro;alexbaikenxx;1927883620
Gabriel;GabrielSousa1705;1634526777
Fernando Dimas;fernandodimas;464497832
Isac_bixcoito;Isac_bixcoito;1997897993
Wosvaldo;Adwwil;5863966075
Igor;FckLogicK;877784775
Júlio César;Juliocln;1540895781
Leonardo;Leozis360;929738640
Renan;renan_renan;1757497120
Luiz Ricardo;Harrytyller;7068138166
Rêmulo;Spyking21;715800544
Carlos Ezequiel;CarlosezequielAmaral;1173204573
Ronald;MasterGamers;226113040
Rodrigo;rodrigoschwenck;518386809
Fabio - ZangadoRock;zanga_2023;114104464
Murilo;murilo_ns;169340749
Raul;RaulBragaSBU;921430989
Victor;VictorArthurr;1190926699
Castro;Castro_Victor;1877294523
Rodrigo;Rodrigonty;1581030465
Luís;luishmendess;1116634192
Rodrigo;AlmeidaRodrigo;660232628
jean;jeanduarte;24199910
Ronaldo;Natcho360;6116583651
Ramon;Ramon_890;5991959197
Hiago;HiagoZampieri;949275232
João Marcos;jmarcosbol;122105172
Wesley;wesleyprzz;1781975187
Rodrigo;RODXWEB;141996433
Douglas;dougwill;850767687
Paulo;PauloEulalio;876016517
Gabriel;Itadori_senku;1138179785
Kayo;Kayogoes15;2117919063
Rafael;rafateodoro;1325606416
Yan;yangllr;5995591011
Elcio;Elciowp;2135708939
Augusto;augustozsimon;1083422458
Rafael;rafa7moraes;376683176
Joao;jp_qz;1018207562
Rafael;Rafael_Albino;1528158887
Fabiano;luzfabiano;161084830
Thiago;Bulfaitelo;286743296
Daniel;DanielGoes;6353218482
Ricardo;CostelaBR17;546785302
Eric;eric_camposs;471495966
Antonio;Antoniobonna;182569067
Samuel;SamucaSilva;281046572
João;JoaoMSF;767880311
Rafael;Partic23;890132949
Gustavo;slaeu12;5364572400
Gabriel;gabrielferro;463938131
Hicardo;hicardo;694659982
Kaique;zulatoirenico;1165453080
evandro;Evandro222;1757860782
Michel;michelplayzuando;1689375151
Sabino;adrianosabino;304280606
Alessandro ⬅️ ~ ➡️ ⬅️ ➡️ 🔘;AlessandroMT;1172595165
Constantino;ConstantinoCMA;618391302
Oliveira;rosario1yy;135677102
Dan;danilotmartins;5068791201
Diego;diegoldn;262575340
Túlio;TulioVictors;532294444
Dalton;DaltonDaSou;587772145
Danilo Lima;Danilolima456;6057560562
Sandro;Sandro_Games;786250139
Fernando;fernando_astonisher;1293060821
Augusto;Augustuuus;1927549440
José Eustáquio;jeustaquios;736073901
Ronei;tupetin;969847194
Andy;redhatux;1568853606
Jefferson;Chefao_Games;6403592703
Bruno;bruno_piruka;557338368
EVANDRO;Evannetto;5211802690
Lucas;Lucas_Rodrigues31;2081363452
